procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 702604 6361692   5436 54986016    0    0 270052    44 8128 2245  0 12 88  0  0  0
 2  0 702612 6982604   5420 54364480    0   36 260588    36 7541 2890  1 10 89  1  0  0
 2  0 702612 7101040   5420 54245948   32    0 700648     0 9030 5070  1  8 90  2  0  0
 2  0 702612 7679656   5420 53663580    0    0 147152     0 8296 6507  5  6 89  0  0  0
 2  0 702612 7768872   5300 53567032    8   12 669464    12 11424 7997  4  7 89  1  0  0
 2  0 702612 8436780   5308 52897228    0    0 86108    44 8338 6137  5  6 89  0  0  0
 3  0 702600 8549964   5308 52787880   28    0 672936     0 9708 6640  2  7 89  2  0  0
 4  0 702600 8989444   5308 52348616  484    0 225508     0 11967 8883  5  7 88  0  0  0
 1  0 702600 9332216   4900 52002724    0   12 210304    12 8262 7044  5  5 89  0  0  0
 2  0 702592 8887436   4900 52322920    8    0 320508     0 7326 7814  4  4 91  1  0  0
 1  0 702572 8677708   4908 52529292   20    0 206228    72 6036 6167  5  2 92  0  0  0
 1  1 702572 7993484   4908 53347560    0    0 818284     0 6909 6059  2  2 94  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 702572 7446104   4908 53897700   16    0 950444     0 7723 7641  1  5 92  1  0  0
 2  0 702564 7876048   4908 53467460    4    0 217656     0 9050 6860  5  6 89  0  0  0
 2  0 702564 8157348   4908 53184616    0    0 389172     0 8829 7931  5  6 89  0  0  0
 2  0 702560 8244184   4916 53095064    8    0 627496    44 10700 8901  4  7 89  0  0  0
 3  0 702556 8506412   4916 52830904   20    0 221844     0 8239 6683  5  5 90  0  0  0
 3  0 702556 6971616   4916 54367760    0    0 1555472     0 9576 9109  3  3 94  1  0  0
 2  0 702556 7629572   4916 53706792    0    0 94848     0 7586 6085  5  6 89  0  0  0
 2  0 702556 8197708   4916 53137576    0    0 140288     0 9521 7081  5  6 89  0  0  0
 2  0 702576 8202424   4612 53134324   12   24 216120    68 5647 4995  5  3 92  0  0  0
 2  0 702576 7994488   4612 53340916   40    0 206376     0 4422 4086  5  1 94  0  0  0
 1  0 702576 7784868   4612 53547764    0    0 206848     0 5910 5370  5  2 93  0  0  0
 1  0 702572 6887352   4616 54458788    0    0 911028    36 7824 6302  4  2 94  0  0  0
 5  0 702788 6781680   3964 54568208   24  272 154192   360 6102 4285  5  5 90  0  0  0
 4  0 703104 6805004   3920 54546964   12 1116 17736  1176 6303 1315  5 15 80  0  0  0
 1  0 707236 6791580   2560 54567148   48 7364 37988  7364 6138 1684  5 10 85  0  0  0
 2  0 707264 6566528   2484 54796668  120   64 264868    64 5671 4228  4  3 93  0  0  0
 2  0 707516 6871400   2448 54492036   76 2124 635292  2124 8931 3475  1 10 89  0  0  0
 2  0 707496 7417976   2436 53943180    8    0 149284     0 9990 7730  5  6 89  0  0  0
 2  0 704968 7960728   2452 53393000 3316    0 135976    44 12364 10485  5  6 88  0  0  0
 1  0 704968 7692612   2452 53598016    4    0 204804     0 7091 5581  5  3 92  0  0  0
 4  0 704956 7253324   2448 54109748 1876    0 514516     0 6341 7141  5  2 93  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 704956 7264032   2448 54097484    4    0 132472     0 6562 4070  5  8 87  0  0  0
 2  0 704956 7593040   2448 53762812    0    0 203720     0 8574 6144  5  6 89  0  0  0
 2  0 705048 7715152   2456 53639848   20  584 174612   632 8357 5756  5  6 88  0  0  0
 2  0 705044 8254376   2444 53098680   20    0 127560     0 9856 7586  5  6 89  0  0  0
 2  0 705036 7714772   2444 53636456    8    0 887608     0 10929 6455  4  7 89  0  0  0
 2  0 705036 7920560   2444 53431016    0    0 163584     0 8660 6142  5  6 89  0  0  0
 3  0 705036 8296416   2444 53055584    0    0 143104     0 7516 5240  5  6 89  0  0  0
 3  0 705020 7991548   2452 53358932   24    0 853712    44 9534 6766  4  7 89  0  0  0
 2  0 705008 8596672   2452 52755400   12    0 116484     0 7015 4960  5  6 89  0  0  0
 3  0 705020 8523828   2428 52827720   48   12 197428    12 7035 5036  5  6 88  0  0  0
 3  0 705268 7611312   2428 53741208    0 1848 913608  1848 11574 5072  4  7 88  0  0  0
 1  0 705272 7421596   2412 53931636   52    4 204112     4 7373 5261  5  5 90  0  0  0
 1  0 705272 7197072   2420 54132900   28    0 200276    44 4766 4137  5  2 93  0  0  0
 2  0 705256 7235836   2340 54132760  184   16 705176    68 7170 3405  3  8 90  0  0  0
 2  0 705284 7668912   2340 53694032   20   24 277504    24 14992 20040  4  7 89  0  0  0
 2  0 705108 8167676   2340 53182772 5976    4 138532     4 42014 72940  5  6 88  1  0  0
 2  0 705120 8671940   2340 52676912   32   32 143600    32 16435 23759  5  6 89  0  0  0
 2  0 705120 9320864   2348 52027820   12    0 87256    88 8743 6587  5  6 89  0  0  0
 2  0 705120 9132424   2348 52217444   16    4 836032     4 57763 103716  4  7 89  0  0  0
 1  0 705124 9311168   2348 52037784   16    8 154520     8 45183 82776  5  4 91  0  0  0
 1  0 705124 9105876   2348 52241816    0    0 204032     0 4691 4012  5  1 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 705120 8196016   2348 53151456    4    0 909976     0 7079 5934  4  2 94  0  0  0
 1  0 705104 7961496   2356 53348352   24    0 196996    44 4500 4199  5  2 93  0  0  0
 2  0 705104 7507596   2356 53800996    4    0 452028     0 5214 3927  5  1 94  0  0  0
 2  0 705104 7697388   2356 53659012   24    0 553996     0 26012 39909  4  7 89  0  0  0
 2  0 705104 8321092   2356 53033348    0    0 86528     0 19749 28778  5  6 89  0  0  0
 3  0 705104 8856868   2356 52495424    0    0 107520     0 48775 87868  5  6 89  0  0  0
 1  0 705104 8722600   2364 52625984    0    0 196608    44 12790 19811  5  2 93  0  0  0
 1  0 705104 7816728   2364 53528772   12    0 903036     0 7228 5820  4  2 94  0  0  0
 1  0 705104 7610960   2364 53732804    8    0 204296     0 5756 5306  5  2 93  0  0  0
 1  0 705100 7387808   2364 53933748   12    0 200716     0 5979 5255  5  2 93  0  0  0
 2  0 705100 7489168   2364 53872808    0    0 164352     0 5148 4536  5  3 92  0  0  0
 3  0 705116 8081128   2372 53274780    0   20 93952    64 31324 54148  5  6 89  0  0  0
 2  0 705116 8694308   2372 52659620    0    8 101148     8 13501 17535  5  6 89  0  0  0
 2  0 704864 8522196   2644 52824944 1512   24 859276    24 19600 26507  4  7 89  0  0  0
 2  0 704864 9053972   2644 52292336    0    0 149760     0 8843 6538  5  6 89  0  0  0
 2  0 704864 9639828   2644 51706800    0    0 127488     0 10522 11204  5  6 89  0  0  0
 3  0 704864 10069792   2652 51277228    4    8 200196    80 7508 6773  5  6 88  0  0  0
 1  0 704864 10238048   2648 51108656    0    0 200960     0 8801 9901  5  4 91  0  0  0
 1  0 704860 9398360   2648 51946912   28    0 838508     0 7041 4787  4  2 94  0  0  0
 1  0 695736 7673636   2648 50673064 22012    0 28680     0 4129 3272  0  5 95  0  0  0
 0  0 694732 7224532   2660 50813952 2448    0 30308     0 2359 1760  1  3 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 694620 7178736   6336 50832104 8288    0 30068    60 4367 5321  1  1 97  1  0  0
 0  1 694588 6686640   7436 51093812 5348    0 268152     0 3809 4457  3  1 95  1  0  0
 1  0 694584 5905040   7860 51629008  276    0 536020    40 3602 4594  2  2 95  2  0  0
 0  1 694572 5229896   7860 52487796    0    0 858652     0 4611 7328  0  2 95  3  0  0
 1  0 694568 4667088   7860 53049552    8    0 561764     0 3368 4843  1  2 95  2  0  0
 0  1 694564 5806152   7608 51914144    0    0 493672    80 3388 4467  1  2 95  2  0  0
 1  0 694564 5036056   7608 52683508    0    0 769856    96 4141 6525  0  2 95  3  0  0
 1  0 694560 4666232   7608 53045516   60    0 361756     0 2810 3453  3  1 95  1  0  0
 1  0 694556 5422708   7608 52296784   20    4 853416     4 4950 7442  0  2 95  3  0  0
 1  0 694548 4827972   7608 52883040    0    0 586408     0 3665 5252  2  1 95  2  0  0
 0  1 694552 5547316   7552 52170796   20   12 562312    56 4022 5216  2  2 94  2  0  0
 0  1 694552 5120084   7552 52594224    0    0 422656     0 4373 3892  0  1 95  4  0  0
 1  0 694548 4854388   7552 52853180    0    0 258952     0 3246 2500  2  1 95  2  0  0
 0  1 694548 4362476   7552 53339116    8    0 485944     0 4297 4631  2  1 95  2  0  0
 1  1 695080 5780956   2684 51785440   76 1540 616108  1540 4596 5685  1  3 93  2  0  0
 0  1 695076 5222104   2692 52147484   24    0 361936    44 4039 3742  3  4 92  1  0  0
 2  0 695076 4681760   2692 52714060    0    0 566464     0 3868 5210  2  2 95  2  0  0
 1  0 695076 4477236   2692 53132476    0    0 418256     0 4137 4082  2  1 95  2  0  0
 2  0 695064 4147848   2692 53554512   80    0 422276     0 4083 4168  2  1 95  2  0  0
 0  1 695300 5127352   2644 52576036    0  432 373896   432 3950 3750  2  2 95  2  0  0
 1  0 695296 4733368   2652 52961228    0    0 385504    44 4447 3792  1  1 95  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 695284 4476044   2652 53215604   12    0 254076     0 3768 2752  2  1 95  2  0  0
 1  0 695284 4016428   2652 53670028    0    0 454424     0 4820 4402  0  1 95  4  0  0
 0  1 695484 5070108   2620 52623092  244  228 164236   228 2779 2110  3  1 94  1  0  0
 1  0 695484 4616160   2620 53076820    0    0 453984     0 5183 4462  0  1 95  4  0  0
 1  0 695476 4449084   2628 53234828   24    0 157776    44 3054 2006  3  1 95  1  0  0
 2  0 695476 4005400   2628 53670556   20    0 435453     0 5411 4847  1  4 92  3  0  0
 1  0 695440 5999184   2636 51676164   72  168 505722   168 5104 5834  2  4 92  2  0  0
 2  0 695432 5518412   2636 52024864  160    0 348492     0 3833 3900  3  3 92  1  0  0
 1  0 695432 5299768   2636 52236224   12    0 211260     0 2951 2488  3  1 94  1  0  0
 1  0 695424 4955620   2644 52570736   24    0 333972    48 3074 3634  3  1 95  1  0  0
 1  0 695412 4544052   2644 52977132   16    0 406412     0 3680 4518  3  1 95  2  0  0
 1  0 695412 4172540   2644 53342248    0    0 365116     0 3464 4073  3  1 95  1  0  0
 1  0 695408 3842340   2648 53666360   36    0 324152    48 3453 3784  3  1 95  1  0  0
 1  1 695204 5435124   2636 52211400  944    4 138504     4 3841 2550  4  5 90  1  0  0
 2  0 695204 6171716   2644 51467556    4    0 225176    76 3760 2715  3  6 90  1  0  0
 1  0 693620 6853176   2788 50769476 4848   76 388356   300 7552 6511  3  4 91  2  0  0
 1  0 692600 6441420   3512 51048216 1152    0 281192   512 4888 3770  3  4 92  2  0  0
 0  0 692588 6334864   3512 51152000   52    0 103332     0 2781 1577  4  2 93  1  0  0
 1  0 692584 6038556   3512 51442984    8    0 290992     0 4327 3366  2  2 94  2  0  0
 0  1 692576 5789376   3512 51690684   12    0 247916     0 3875 2933  2  1 95  2  0  0
 0  1 692544 5597264   3512 51876344  196    0 185652    64 2902 2564  4  1 95  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1 692544 5428024   3524 52039532    4    0 163192   132 2634 2161  4  1 95  1  0  0
 1  0 692544 5171020   3524 52292376    0    0 252844     0 3356 3047  3  1 95  2  0  0
 1  0 692520 4928080   3524 52529868   48    0 237856     0 3605 3063  3  1 95  2  0  0
 2  0 692520 4708136   3524 52742576    0    0 212780     0 3035 2805  3  1 95  1  0  0
 1  0 692496 4519976   3524 52926004    0    0 183168     0 2769 2435  4  1 95  1  0  0
 1  0 692496 4478600   3532 53106284    0    0 180064    44 2727 2464  3  1 95  1  0  0
 0  1 692496 4259608   3532 53239760    0    0 133136     0 2639 1982  4  1 94  1  0  0
 2  0 692492 5261444   3532 52316476   16    0 53424     0 2769 1027  5  5 90  0  0  0
 1  0 692884 6450972   3532 51117288    0  440 204300   440 4442 2829  4  5 91  1  0  0
 1  0 692868 6119796   3532 51320880   16    0 203652     0 3536 2767  3  3 93  1  0  0
 1  0 692864 5920728   3540 51511512   12    0 190960    72 3429 2619  3  2 94  1  0  0
 0  1 692864 5810980   3540 51614084    0    0 102492     0 2305 1598  4  0 95  1  0  0
 1  0 692864 5696364   3540 51724232    0    0 110044     0 2456 1718  4  0 95  1  0  0
 1  0 692856 5556052   3540 51855976    8    0 131844     0 2513 2059  4  1 95  1  0  0
 1  0 692856 5390884   3540 52018824    0    0 162580     0 2638 2236  3  1 95  1  0  0
 1  0 692856 5236708   3540 52166100    0    0 147268     0 2867 2209  4  1 95  1  0  0
 1  0 692856 5095184   3548 52301744    0    0 135644    44 2709 2068  4  1 95  1  0  0
 1  0 692852 4968192   3548 52422712   20    0 120988     0 2659 2005  4  1 95  1  0  0
 1  0 692852 4843388   3548 52539940    0    0 117228     0 2637 1981  4  1 95  1  0  0
 2  0 692844 5203540   3548 52316088    8    0 116636     0 2995 1935  4  2 93  1  0  0
 2  0 692988 5995684   3548 51524416    0  148 58332   148 3273 1179  5  5 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 693748 7071044   3552 50441988    0  776 76184   856 2811 1359  5  3 93  0  0  0
 1  0 693748 6917180   3552 50588204    0    0 146216     0 2971 2113  4  1 95  1  0  0
 1  0 693748 6773144   3552 50726688    0    0 138484     0 3087 2100  4  1 95  1  0  0
