procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1 691336 3822016  19128 56636828 13460    0 112680     0 6425 7304  2  1 95  2  0  0
 1  0 691324 3572128  19552 56710364  480    0 75436     0 2952 2290  2  1 95  2  0  0
 1  0 691316 3418412  19552 56755012   48    0 44772     0 9589 16496  2  1 95  2  0  0
 1  0 691308 3380340  19560 56785696   56    0 30232    72 12874 15490  2  1 95  3  0  0
 1  0 691304 3358584  19560 56807452   28    0 21844     0 12622 11374  2  0 95  2  0  0
 0  1 691300 3335428  19560 56825828    0    0 18040     0 8400 9547  3  0 95  2  0  0
 1  0 691296 3311656  19560 56841908    0    0 15716     0 6029 8401  3  1 95  2  0  0
 1  0 691280 3278608  19560 56867788   20    0 25656     0 8073 13368  3  0 95  2  0  0
 2  0 691280 4124172  19568 56014804    0    0 23008    44 7368 12006  3  1 94  2  0  0
 0  1 691276 3970444  19568 56040788   76    0 26232     0 7975 12930  2  1 95  2  0  0
 1  0 691264 3809068  19568 56055308  160    0 14288     0 4558 6455  4  1 95  1  0  0
 1  0 691232 3801380  19568 56058620  188    0  3392     0 1862 1452  5  0 95  0  0  0
 1  0 691216 3799364  19568 56061212  132    0  2744     0 1862 1287  5  0 95  0  0  0
